loc,v(g),n,v,e,lOComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
58,7,164,925.59,23635.66,8,22,28,100,65,0
10,1,21,69.76,232.53,2,4,6,11,10,0
8,1,13,39,70.2,0,3,5,7,6,0
8,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0
6,1,13,41.21,61.81,0,3,6,7,6,0
38,4,102,542.84,5001.85,2,12,28,59,43,0
9,1,22,85.95,451.25,0,9,6,15,7,0
4,1,6,15.51,38.77,0,5,1,5,1,0
5,1,7,19.65,49.13,0,5,2,5,2,0
5,1,7,19.65,49.13,0,5,2,5,2,0
25,4,77,388.42,7907.09,6,19,14,47,30,0
8,2,24,96,555.43,0,9,7,15,9,0
11,2,17,62.91,301.96,0,8,5,11,6,0
9,2,13,44.97,161.9,0,6,5,7,6,0
27,3,72,356.7,6280.51,1,17,14,43,29,0
29,3,76,380,6675.33,2,17,15,45,31,0
28,3,90,450,8160,1,17,15,58,32,0
25,3,68,330.34,5488.77,1,16,13,41,27,0
8,1,19,68.11,333.76,1,7,5,12,7,0
23,4,51,227.43,1810.7,0,9,13,28,23,0
25,2,97,485,5674.5,3,12,20,58,39,0
86,8,133,697.97,20163.7,15,20,18,81,52,0
93,9,154,830.42,25327.71,16,21,21,93,61,0
93,9,195,1044.72,32336.65,16,20,21,130,65,0
109,12,232,1266.59,49149.13,17,21,23,147,85,0
75,7,111,555,15341.79,12,18,14,68,43,0
38,4,136,697.58,11541.82,4,13,22,80,56,0
15,3,27,114.69,788.52,0,11,8,17,10,0
27,2,105,534.18,6264.52,3,12,22,62,43,0
62,8,113,597.25,16617.61,7,22,17,70,43,0
37,4,75,368.02,6256.29,1,17,13,49,26,0
67,9,130,705.41,20280.66,8,23,20,80,50,0
66,9,149,803.46,22536.92,8,22,20,98,51,0
77,10,169,933.48,28471.2,7,23,23,108,61,0
48,7,93,469.13,11141.81,4,19,14,58,35,0
11,1,40,178.38,1189.18,2,10,12,24,16,0
12,3,38,171.9,1593.94,0,12,11,21,17,0
24,4,77,388.42,7907.09,6,19,14,47,30,0
23,4,120,620.39,13152.29,0,16,20,67,53,0
5,1,6,15.51,31.02,0,4,2,4,2,0
12,2,24,91.38,1005.14,0,11,3,18,6,0
8,2,21,77.71,453.3,0,7,6,11,10,0
8,2,26,104,866.67,0,10,6,16,10,0
145,7,402,2653.16,82911.41,18,25,72,222,180,0
39,6,127,666.49,13488.42,0,17,21,77,50,0
45,5,106,548.01,8220.18,2,15,21,64,42,0
29,4,58,287.34,2957.95,2,14,17,33,25,0
46,5,106,548.01,8220.18,2,15,21,64,42,0
49,6,116,608.76,9961.52,2,16,22,71,45,0
136,31,457,2688.37,190629.72,0,26,33,277,180,0
17,3,37,151.24,1728.41,5,10,7,21,16,0
42,4,128,685.77,11191.71,0,16,25,77,51,0
15,1,32,130.8,535.09,4,6,11,17,15,0
27,5,54,256.76,1941.78,7,11,16,32,22,0
30,4,74,370,3552,9,12,20,42,32,0
48,5,117,618.39,8348.29,12,13,26,63,54,0
13,1,29,107.31,333.86,3,4,9,15,14,0
21,5,61,305,2712.89,4,13,19,35,26,0
52,2,131,727.65,8797.96,9,14,33,74,57,0
4,1,11,34.87,69.74,0,4,5,6,5,0
21,9,62,301.19,5436.57,0,19,10,43,19,0
35,3,64,310.91,3410.3,0,13,16,37,27,0
34,10,118,651.78,12318.65,0,21,25,73,45,0
